"","team","opp","team_town","opp_town"
"97"," Holy Cross"," Holy Cross","Worcester, MA","Worcester, MA"
"98"," Houston"," Houston","Houston, TX","Houston, TX"
"99"," Howard"," Howard","Washington, DC","Washington, DC"
"100"," Idaho"," Idaho","Moscow, ID","Moscow, ID"
"101"," Idaho State"," Idaho State","Pocatello, ID","Pocatello, ID"
"102"," Illinois"," Illinois","Champaign, IL","Champaign, IL"
"103"," Illinois State"," Illinois State","Normal, IL","Normal, IL"
"104"," Indiana"," Indiana","Bloomington, IN","Bloomington, IN"
"105"," Indiana State"," Indiana State","Terre Haute, IN","Terre Haute, IN"
"106"," Iona"," Iona","New Rochelle, NY","New Rochelle, NY"
"107"," Iowa"," Iowa","Iowa City, IA","Iowa City, IA"
"108"," Iowa State"," Iowa State","Ames, IA","Ames, IA"
"109"," IUPUI"," IUPUI","Indianapolis, IN","Indianapolis, IN"
"110"," Jackson State"," Jackson State","Jackson, MS","Jackson, MS"
"111"," Jacksonville"," Jacksonville","Jacksonville, FL","Jacksonville, FL"
"112"," Jacksonville State"," Jacksonville State","Jacksonville, AL","Jacksonville, AL"
"113"," James Madison"," James Madison","Harrisonburg, VA","Harrisonburg, VA"
"114"," Kansas"," Kansas","Lawrence, KS","Lawrence, KS"
"115"," Kansas State"," Kansas State","Manhattan, KS","Manhattan, KS"
"116"," Kent State"," Kent State","Kent, OH","Kent, OH"
"117"," Kentucky"," Kentucky","Lexington, KY","Lexington, KY"
"118"," La Salle"," La Salle","Philadelphia, PA","Philadelphia, PA"
"119"," Lafayette"," Lafayette","Easton, PA","Easton, PA"
"120"," Lamar"," Lamar","Beaumont, TX","Beaumont, TX"
"121"," Lehigh"," Lehigh","Bethlehem, PA","Bethlehem, PA"
"122"," Liberty"," Liberty","Lynchburg, VA","Lynchburg, VA"
"123"," Lipscomb"," Lipscomb","Nashville, TN","Nashville, TN"
"124"," Little Rock"," Little Rock","Little Rock, AR","Little Rock, AR"
"125"," LIU"," LIU","Brooklyn, NY","Brooklyn, NY"
"126"," Long Beach State"," Long Beach State","Long Beach, CA","Long Beach, CA"
"127"," Louisiana"," Louisiana","Lafayette, LA","Lafayette, LA"
"128"," Louisiana Tech"," Louisiana Tech","Ruston, LA","Ruston, LA"
"129"," Louisiana-Monroe"," Louisiana-Monroe","Monroe, LA","Monroe, LA"
"130"," Louisville"," Louisville","Louisville, KY","Louisville, KY"
"131"," Loyola (IL)"," Loyola (IL)","Chicago, IL","Chicago, IL"
"132"," Loyola (MD)"," Loyola (MD)","Baltimore, MD","Baltimore, MD"
"133"," Loyola Marymount"," Loyola Marymount","Los Angeles, CA","Los Angeles, CA"
"134"," LSU"," LSU","Baton Rouge, LA","Baton Rouge, LA"
"135"," Manhattan"," Manhattan","Riversdale, NY","Riversdale, NY"
"136"," Marist"," Marist","Poughkeepsie, NY","Poughkeepsie, NY"
"137"," Marquette"," Marquette","Milwaukee, WI","Milwaukee, WI"
"138"," Marshall"," Marshall","Huntington, WV","Huntington, WV"
"139"," Maryland"," Maryland","College Park, MD","College Park, MD"
"140"," McNeese State"," McNeese State","Lake Charles, LA","Lake Charles, LA"
"141"," Memphis"," Memphis","Memphis, TN","Memphis, TN"
"142"," Mercer"," Mercer","Macon, GA","Macon, GA"
"143"," Miami (FL)"," Miami (FL)","Miami, FL","Miami, FL"
"144"," Miami (OH)"," Miami (OH)","Oxford, OH","Oxford, OH"
"145"," Michigan"," Michigan","Ann Arbor, MI","Ann Arbor, MI"
"146"," Michigan State"," Michigan State","East Lansing, MI","East Lansing, MI"
"147"," Middle Tennessee"," Middle Tennessee","Murfreesboro, TN","Murfreesboro, TN"
"148"," Milwaukee"," Milwaukee","Milwaukee, WI","Milwaukee, WI"
"149"," Minnesota"," Minnesota","Minneapolis, MN","Minneapolis, MN"
"150"," Mississippi State"," Mississippi State","Starkville, MS","Starkville, MS"
"151"," Mississippi Valley State"," Mississippi Valley State","Itta Bena, MS","Itta Bena, MS"
"152"," Missouri"," Missouri","Columbia, MO","Columbia, MO"
"153"," Missouri State"," Missouri State","Springfield, MO","Springfield, MO"
"154"," Monmouth"," Monmouth","West Long Beach, NJ","West Long Beach, NJ"
"155"," Montana"," Montana","Missoula, MT","Missoula, MT"
"156"," Montana State"," Montana State","Bozeman, MT","Bozeman, MT"
"157"," Morehead State"," Morehead State","Morehead, KY","Morehead, KY"
"158"," Morgan State"," Morgan State","Baltimore, MD","Baltimore, MD"
"159"," Mount St. Mary's"," Mount St. Mary's","Emmitsburg, MD","Emmitsburg, MD"
"160"," Murray State"," Murray State","Murray, KY","Murray, KY"
"161"," Navy"," Navy","Annapolis, MD","Annapolis, MD"
"162"," NC State"," NC State","Raleigh, NC","Raleigh, NC"
"163"," Nebraska"," Nebraska","Lincoln, NE","Lincoln, NE"
"164"," Nevada"," Nevada","Reno, NV","Reno, NV"
"165"," New Mexico"," New Mexico","Albuquerque, NM","Albuquerque, NM"
"166"," New Mexico State"," New Mexico State","Las Cruces, NM","Las Cruces, NM"
"167"," New Orleans"," New Orleans","New Orleans, LA","New Orleans, LA"
"168"," Niagara"," Niagara","Niagara, NY","Niagara, NY"
"169"," Nicholls State"," Nicholls State","Thibodaux, LA","Thibodaux, LA"
"170"," Norfolk State"," Norfolk State","Norfolk, VA","Norfolk, VA"
"171"," North Carolina A&T"," North Carolina A&T","Greensboro, NC","Greensboro, NC"
"172"," North Carolina Central"," North Carolina Central","Durham, NC","Durham, NC"
"173"," North Dakota"," North Dakota","Grand Forks, ND","Grand Forks, ND"
"174"," North Dakota State"," North Dakota State","Fargo, ND","Fargo, ND"
"175"," North Florida"," North Florida","Jacksonville, FL","Jacksonville, FL"
"176"," North Texas"," North Texas","Denton, TX","Denton, TX"
"177"," Northeastern"," Northeastern","Boston, MA","Boston, MA"
"178"," Northern Arizona"," Northern Arizona","Flagstaff, AZ","Flagstaff, AZ"
"179"," Northern Colorado"," Northern Colorado","Greeley, CO","Greeley, CO"
"180"," Northern Illinois"," Northern Illinois","DeKalb, IL","DeKalb, IL"
"181"," Northern Iowa"," Northern Iowa","Cedar Falls, IA","Cedar Falls, IA"
"182"," Northern Kentucky"," Northern Kentucky","Highland Heights, KY","Highland Heights, KY"
